id,name,lat,lon,basin,river,role,capacity_af,storage_af,pct_of_median_1991_2020,confidence,as_of,source,dwr_telemetry_abbrev
nighthorse,Lake Nighthorse,37.23,-107.9,San Juan & Dolores,Animas (pumped),water supply,123541,117000,97,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",BASRESCO
navajo,Navajo Reservoir,37,-107.4,San Juan & Dolores,San Juan River,water supply,1708600,969000,70,observed,1 Jul 2026,USBR UC Region,
riogrande,Rio Grande Res.,37.73,-107.27,Rio Grande,Rio Grande,water supply,52192,34500,86,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",RIORESCO
platoro,Platoro Reservoir,37.35,-106.53,Rio Grande,Conejos River,water supply,59570,39400,86,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",PLARESCO
sanchez,Sanchez Reservoir,37.1,-105.42,Rio Grande,Ventero Creek,water supply,103000,68100,86,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",SANRESCO
turquoise,Turquoise Lake,39.25,-106.4,Arkansas,Lake Fork Arkansas,water supply,129432,94500,91,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",TURQLACO
twinlakes,Twin Lakes,39.08,-106.35,Arkansas,Lake Creek,water supply,141000,103000,91,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",TWIRESCO
pueblo,Pueblo Reservoir,38.26,-104.72,Arkansas,Arkansas River,water supply,357000,196000,93,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
trinidad,Trinidad Lake,37.14,-104.6,Arkansas,Purgatoire River,water supply,114000,22800,52,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
johnmartin,John Martin Res.,38.07,-102.93,Arkansas,Arkansas River,water supply,616000,31000,41,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",JMRCADCO
antero,Antero Reservoir,39,-105.9,South Platte,South Platte River,water supply,20122,0,0,observed,16 Jul 2026,Denver Water CSV,
elevenmile,Eleven Mile Canyon,38.93,-105.48,South Platte,South Platte River,water supply,97779,98664,104,observed,16 Jul 2026,Denver Water CSV,
cheesman,Cheesman Reservoir,39.2,-105.27,South Platte,South Platte River,water supply,79064,59114,88,observed,16 Jul 2026,Denver Water CSV,CHERESCO
strontia,Strontia Springs,39.42,-105.13,South Platte,South Platte River,water supply,7864,6849,95,observed,16 Jul 2026,Denver Water CSV,STRRESCO
chatfield,Chatfield Res.,39.54,-105.07,South Platte,South Platte River,water supply,28709,24148,92,observed,16 Jul 2026,Denver Water CSV,CHARESCO
cherrycreek,Cherry Creek Res.,39.6506,-104.8543,South Platte,Cherry Creek,flood control,13077,11381,,observed,22 Jul 2026,USACE dam · DWR telemetry,CHRRESCO
bearcreek,Bear Creek Lake,39.6537,-105.1408,South Platte,Bear Creek,flood control,1996,899,,observed,22 Jul 2026,USACE dam · DWR telemetry,BCRRESCO
marston,Marston Reservoir,39.65,-105.08,South Platte,Denver system,water supply,19108,18265,99,observed,16 Jul 2026,Denver Water CSV,
gross,Gross Reservoir,39.95,-105.36,South Platte,S. Boulder Creek,water supply,41811,23389,70,observed,16 Jul 2026,Denver Water CSV,GROSRECO
ralston,Ralston Reservoir,39.83,-105.25,South Platte,Ralston Creek,water supply,10776,10113,98,observed,16 Jul 2026,Denver Water CSV,
standley,Standley Lake,39.87,-105.13,South Platte,Clear Creek (div.),water supply,42000,33600,90,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",STALAKCO
horsetooth,Horsetooth Res.,40.57,-105.17,South Platte,C-BT terminal,water supply,156735,141000,96,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",HORTOOCO
carter,Carter Lake,40.33,-105.22,South Platte,C-BT terminal,water supply,108900,88200,84,observed,Jul 2026,Northern Water via Snoflo,CARTERCO
boyd,Boyd Lake,40.44,-105.05,South Platte,Big Thompson (div.),water supply,48871,12200,32,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
jackson,Jackson Lake,40.38,-104.09,South Platte,S. Platte (div.),water supply,35000,27650,79,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
prewitt,Prewitt Reservoir,40.63,-103.4,South Platte,S. Platte (div.),water supply,28840,22780,79,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
nsterling,North Sterling,40.79,-103.13,South Platte,S. Platte (div.),water supply,74590,58900,79,basin estimate,,"basin % of median (NRCS, 1 Jun 2026)",
